,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm
5832,Mikey B - One In A Million,Mikey B ,N_fKmxacdl8,Mikey B - One In A Million,5 years ago,48439.0,4:21,261.0,DEEPROT,54,UK Bass,134.0
5844,MOVE,Mila J ,xHUryef94QE,Mila J - MOVE,4 years ago,271803.0,2:48,168.0,Mila J,127,,138.0
5846,Sentah (feat. Bryte),"Mina, Bryte",laxIOHgjTVU,Mina - Sentah (feat. Bryte),4 years ago,131160.0,3:09,189.0,ENCHUFADA,16,,125.0
5918,I'm Better (feat. Lamb),Missy Elliott,TwyPsUd9LAk,Missy Elliott - I'm Better (feat. Lamb) [Official Music Video],4 years ago,39216984.0,3:40,220.0,Missy Elliott,2642,Hip-Hop/Rap,105.0
5954,Triscuits (Original mix)  ,Monitor 66,gaj7eG6Egpk,Monitor 66 - Triscuits (official),8 years ago,562169.0,5:47,347.0,thehouseofdisco,132,,108.0
5984,Shine Girl,Mostack;Stormzy,IXJd36Yxa-o,MoStack - Shine Girl (Official Video) ft. Stormzy,2 years ago,11336331.0,2:56,176.0,MoStack,1371,Rap/Hip Hop,104.0
5998,Tu Sicaria,Ms Nina;Beauty Brain,AqLAKlkRM30,♥  Ms Nina ♥   -   Tu Sicaria Prod  Beauty Brain,4 years ago,40756850.0,2:25,145.0,Ms Nina,2172,Rap/Hip Hop;Reggaeton;Reggae,98.0
5999,Brandy,MssingNo ,LUtJv8ll_BU,MssingNo - Brandy Flip,7 years ago,236091.0,4:51,291.0,Петр Бубликов,34,,130.0
6011,Firefly (feat Nao),MURA MASA,ThxaAo1QFSw,Mura Masa - Firefly (feat. Nao),6 years ago,24633349.0,3:49,229.0,Majestic Casual,1248,Bass,110.0
6012,Lovesick Fuck,MURA MASA,1LwHBw0EXe8,Mura Masa - Lovesick Fuck,6 years ago,6552983.0,3:17,197.0,Majestic Casual,799,Bass,89.0
6038,Miss You,Mura Masa ,90fRR8vHoM0,Mura Masa - Miss You,6 years ago,11126983.0,4:06,246.0,Majestic Casual,644,,87.97
6048,Move Me,Mura Masa & Octavian,Tbz6xQkewo4,Mura Masa - Move Me (Official Video) ft. Octavian,3 years ago,10795926.0,3:31,211.0,Mura Masa,1293,Electrónica,105.0
6057,Complicated,Mura Masa ft. Nao,NjOLYMGTRWw,"Mura Masa, NAO - Complicated",2 years ago,3681230.0,3:46,226.0,Mura Masa,1067,,100.0
6058,Trabajo,Murda,jn1ieqwc6z0,Murda - Trabajo (prod. Yung Felix),3 years ago,8100051.0,2:26,146.0,noahsarklabel,530,Rap/Hip Hop,108.0
6076,Together,Murlo;Conducta,8zshk50pCRA,Murlo & Conducta - Together,3 years ago,23453.0,4:30,270.0,BlueDollarBillz,12,Alternative;Indie Rock;Electro;Techno/House;Dance,136.0
6149,Paris (feat. Jordo),Nakala,BjXMIcYXkj8,Nakala - Paris ft. Jordo,5 years ago,527966.0,3:21,201.0,dynmk,58,R&B/Soul,128.0
6154,Business Woman,Nathy Peluso,4B614TAin4s,Nathy Peluso - BUSINESS WOMAN,1 year ago,13110161.0,3:57,237.0,Nathy Peluso,2078,Rap/Hip Hop;Pop;Latin Pop,83.0
6170,Natikillah,Nathy Peluso,Dua-Mh73Y2k,NATHY PELUSO - NATIKILLAH,2 years ago,13366766.0,3:22,202.0,Nathy Peluso,2079,Rap/Hip Hop,89.01
6196,Nicolas Jaar - And I Say (Xinobi Edit),Nicolas Jaar,kHlTgClAq6Q,Nicolas Jaar - And I Say (Xinobi Edit),8 years ago,9761424.0,6:20,380.0,The Vibe Minds,291,,115.0
6205,Just A Girl,No Doubt,PHzOOQfhPFg,No Doubt - Just A Girl,11 years ago,74113742.0,3:27,207.0,NoDoubtTV,1545,Pop,107.91
6218,U,Noah North,OPrFWay3n8Q,U - Noah North (Official Lyric Video),1 year ago,132305.0,2:21,141.0,Noah North,131,Pop,104.0
6244,You Are,NVOY,0wd9GytzM3g,NVOY - You Are,8 months ago,160625.0,3:51,231.0,Selected.,120,Dance,121.0
6263,Another Level,Olamide,MW3uw23g_-s,Olamide - Another Level (Audio),9 months ago,162331.0,2:57,177.0,Olamide Baddosneh,88,,100.0
6315,Dos Uno Nueve (219),Omar Apollo,EXd-lh_rf4w,Omar Apollo - Dos Uno Nueve (Official Lyric Video),10 months ago,100221.0,3:08,188.0,Omar Apollo,197,Alternative,100.28
6331,Frío,Omar Apollo,hjv2e5TdFLw,Omar Apollo - Frío (Official Lyric Video),1 year ago,448102.0,2:06,126.0,Omar Apollo,266,Latin Music,86.0
6351,Post To Be,Omarion ft. Chris Brown & Jhene Aiko,aPxVSCfoYnU,Omarion Ft. Chris Brown & Jhene Aiko - Post To Be (Official Music Video),6 years ago,784057967.0,3:47,227.0,Omarion,480,Abstract,97.5
6383,OSDHDTT (Original mix) ,Origins Sound,khpS04EZaxs,Origins Sound - OSDHDTT,8 years ago,86507.0,5:04,304.0,Eton Messy,59,,125.0
6427,Frontline,Pa Salieu,IaQjlagBnG0,Pa Salieu - Frontline (Music Video) | @MixtapeMadness,1 year ago,4470937.0,3:25,205.0,Mixtape Madness,1631,Rap/Hip Hop,97.5
6443,Stuck On You,Pedro/Bryte,_1kNoTq1FLI,PEDRO - Stuck On You (feat. Bryte) [LYRIC VIDEO],1 year ago,22561.0,2:51,171.0,ENCHUFADA,14,Electro;Dance;Disco,130.0
6503,In another room - Pional,PionaL,8zz5o3TLzlM,Pional - In Another Room,11 years ago,423824.0,7:35,455.0,Hivern Discs,71,,107.0
6518,Life in Grey,Point Point,OYhazrEYYW0,Point Point - Life in Grey,7 years ago,2693375.0,3:45,225.0,Majestic Casual,505,,179.96
6531,Somateria,Polkadot,b4Gs4PuMQO4,Polkadot - Somateria,8 years ago,32678.0,5:16,316.0,SubSoul,10,,125.0
6597,Kiss You Forever,Poolside,9-eWsv4oazQ,Poolside – Kiss You Forever (Official Audio),9 years ago,1044725.0,5:33,333.0,Poolside,81,Daytime Disco,96.0
6598,Do You Believe,Poolside,7PeHiipOcI4,Poolside - Do You Believe,3 years ago,174713.0,4:15,255.0,Poolside,84,Daytime Disco,104.0
6618,Coño,Puri;Jhorrmountain;Adje,uE7b5Q7wtSw,Puri x Jhorrmountain x Adje - Coño (Official Audio),3 years ago,47641407.0,2:18,138.0,Spinnin' Records,1616,Dance,100.0
6640,Metelo,Puri;Kilate Tesla;Adje;Dopebwoy,aUoMkoBMstI,"Puri, KILATE TESLA & Adje – Metelo ft. Dopebwoy",2 years ago,469278.0,3:04,184.0,Artsounds,65,Rap/Hip Hop,100.0
6655,Family Tree,Ramz,XoMtG1CexN8,Ramz - Family Tree [Music Video] | GRM Daily,3 years ago,37933218.0,3:24,204.0,GRM Daily,1997,,108.0
6676,Rhythm 'N' Gash (Instrumental),Rebound X,tSTK8W-Cs-s,Rebound X - Rhythm 'N' Gash (Instrumental),8 years ago,2921092.0,3:55,235.0,YesItsVetzHD,630,,140.0
6690,Dumebi (S!RENE Edit),Rema,zUU1bIWpH5c,Rema - Dumebi ( Official Music Video ),2 years ago,42759916.0,3:16,196.0,Rema,1985,,109.97
6704,Woman,Rema,v7dsnMbRAHY,Rema - Woman (Official Music Video),8 months ago,8518431.0,4:00,240.0,Rema,2062,,113.0
6713,Lovenvy,Renz Young,sJ0vjD1ZC1w,Renz Young - Lovenvy,4 years ago,6160.0,3:38,218.0,Rhythm Assisted Poetry,10,Rap/Hip Hop,135.0
6769,Down The Line (It Takes A Number),Romare,vzYbJQm9laM,Romare - Down The Line (It Takes A Number),9 years ago,874168.0,4:16,256.0,Romaremusic,76,,88.0
6788,Blijf Bij Mij,Ronnie Flex;Maan,5EbIIR-XpTs,Ronnie Flex - Blijf Bij Mij ft. Maan (prod. Jack $hirak),3 years ago,38171175.0,3:10,190.0,TopNotch,2122,Pop,98.0
6800,A Palé,Rosalía,5zwpwbdGNIk,ROSALÍA - A Palé (Official Video),1 year ago,42070111.0,2:23,143.0,ROSALÍA,898,Pop,123.01
6804,Con Altura,Rosalía;J Balvin;El Guincho,p7bfOZek9t4,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",2 years ago,1839275568.0,2:45,165.0,ROSALÍA,1328,Pop,98.0
6811,"Yo x Ti, Tu x Mi",Rosalía;Ozuna,2j3x0VYnehg,"ROSALÍA, Ozuna - Yo x Ti, Tu x Mi (Official Video)",1 year ago,413233345.0,3:28,208.0,ROSALÍA,725,Latin Music,92.0
6822,Glass,Round,uEbK7RbOK9c,Round - Glass,6 years ago,149204.0,5:07,307.0,Hivern Discs,32,Electronic,119.75
6824,Breathe,Rubee Rayne ,1YKlXATyR9g,Rubee Rayne - Breathe,7 years ago,19070.0,3:17,197.0,Rubee Rayne,19,Slowsex,105.0
6835,Take Me,RUFUS,lFBbUuqbiJw,RUFUS - Take Me (Official Video) [Be Yourself Music],7 years ago,157531.0,4:16,256.0,Be Yourself Music,24,Indie,124.0
6905,Rover (feat. DTG),S1mba;DTG,lcUq0DDt0Ro,S1MBA ft. DTG - Rover (Mu la la) [Music Video] | Link Up TV,1 year ago,21869082.0,2:47,167.0,Link Up TV,1934,Rap/Hip Hop,108.0
6949,Sunshine Pulse (feat. SIROJ),Sam Tiba,mnVZzHujXiA,Sam Tiba - Sunshine Pulse (feat. SIROJ),5 years ago,45157.0,5:03,303.0,Bromance Records,11,,115.96
6993,Tap In,Saweetie,jUIrolORx6M,Saweetie - Tap In [Official Music Video],1 year ago,48130592.0,2:31,151.0,Official Saweetie,1143,Rap/Hip Hop,100.0
7015,Gimme the Light,Sean Paul,8MmW_GOFS8I,Sean Paul - Gimme The Light (Official Video),11 years ago,62042586.0,3:28,208.0,Atlantic Records,1808,Pop,107.18
7034,Like Glue,Sean Paul ,0zZ2bifb338,Sean Paul - Like Glue (Official Video),11 years ago,116275306.0,4:16,256.0,Atlantic Records,2029,,97.9
7062,Patsergedrag,Sevn Alias;Boef,aNv27umOfIY,Sevn Alias ft. Lil Kleine & Boef - Patsergedrag (Prod. Jack $hirak),3 years ago,33242685.0,3:14,194.0,RotterdamAirlines,2052,Rap/Hip Hop,124.0
7071,Big Man,Sevn Alias;Mula B;Trobeats,D251IpT-y4k,Sevn Alias - Big Man ft. Mula B & Trobi (prod. Trobi & Deauxnuts),2 years ago,8958395.0,2:44,164.0,1OAK-TV,798,Rap/Hip Hop,96.0
7085,Smart Aleck Kill (feat. Col3trane),SG Lewis,lpJ8Otaw6MI,SG Lewis - Smart Aleck Kill (Audio) ft. Col3trane,4 years ago,298669.0,3:54,234.0,SG Lewis,70,Electronic,150.0
7127,Dobale,Shaybo,ZdwzYQGG7ww,Shaybo - Dobale (Official Video),9 months ago,1276683.0,2:34,154.0,Shaybo,725,Rap/Hip Hop,97.0
7138,Ya Dun Know,Shaybo,W-kO6OCd5RA,Shaybo - Ya Dun Know [Music Video] | Link Up TV,1 year ago,866891.0,3:03,183.0,Link Up TV,331,Rap/Hip Hop,100.0
7192,MAIN STREET ELECTRICAL PARADE,Shinichi Osawa,f8rItDSXSLo,Shinichi Osawa / MAIN STREET ELECTRICAL PARADE,12 years ago,350194.0,5:51,351.0,DJTomoe5,95,Electronica/Dance,125.0
7214,Bo Peep (Do U Right),Shlohmo ft. Jeremih,FXjIpLfG7Mo,Shlohmo - Bo Peep (Do U Right) ft. Jeremih HD,7 years ago,98772.0,3:50,230.0,Words & Music,18,,120.0
7216,Bam Bam,Sister Nancy,qXnT3LFTc-s,Sister Nancy - BAM BAM,13 years ago,24562920.0,3:17,197.0,johnreign81,1843,Reggae,82.97
7238,Cause and Effect,Sivey,cNVioKhuF3I,Sivey - Cause and Effect,8 years ago,380048.0,3:04,184.0,Majestic Casual,138,,134.03
7260,I Wish (Radio Edit),Skee-Lo,ryDOy3AosBw,Skee-Lo - I Wish (Official Video),8 years ago,28678693.0,4:14,254.0,Altra Moda Music,1139,Hip-Hop/Rap,97.86
7300,Where Are Ü Now (feat. Justin Bieber),Skrillex & Diplo,nntGTK2Fhb0,"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)",6 years ago,1184049219.0,4:12,252.0,Jack Ü,749,Dance,140.0
7379,Best Friends (Y//2//K Remix),Sophia Grace,YTEyds7c25I,Sophia Grace - Best Friends (Y2K Remix),6 years ago,51537.0,2:48,168.0,Arts Help,40,,100.0
7405,Lemonade,Sophie,LdLvp630plc,SOPHIE - LEMONADE (Official Stream),7 years ago,1975779.0,1:59,119.0,Numbers.,1121,Bass,142.99
7429,Hard,Sophie,V8fwWZD159k,SOPHIE - HARD (Official Stream),6 years ago,1343749.0,2:55,175.0,Numbers.,464,Bass,84.0
7436,Elle,Sophie,V2gMXJEqt3c,SOPHIE - ELLE (Official Stream),8 years ago,367676.0,3:45,225.0,Numbers.,113,Electronic,119.91
7437,JUST LIKE WE NEVER SAID GOODBYE,SOPHIE,6Z3N79ktprw,SOPHIE - JUST LIKE WE NEVER SAID GOODBYE (Official Stream),5 years ago,907407.0,3:09,189.0,Numbers.,397,PC Music,143.0
7438,L.O.V.E.,SOPHIE,BY9ejw1728w,SOPHIE - L.O.V.E. (Official Stream),5 years ago,260872.0,3:39,219.0,Numbers.,380,PC Music,143.9
7439,VYZEE,SOPHIE,KXdRl6Ml37I,SOPHIE - VYZEE (Official Stream),5 years ago,1053343.0,3:23,203.0,Numbers.,322,PC Music,130.0
7440,MSMSMSM,SOPHIE,WyX-PRqzV78,SOPHIE - MSMSMSM (Official Stream),5 years ago,951174.0,3:36,216.0,Numbers.,805,PC Music,133.5
7444,BIPP,SOPHIE,MVc3Z-bG6Eo,SOPHIE - BIPP (Official Stream),8 years ago,2259406.0,3:01,181.0,Numbers.,778,PC Music,124.0
7461,III/IV,Star Slinger,ZKjLc61wO8k,Star Slinger - III/IV,7 years ago,16010.0,4:07,247.0,InspotMusic,27,,126.0
7480,Soco,Starboy;Wizkid;Ceeza Milli;Spotless;Terri,9qz7lMsFUJU,"StarBoy - Soco ft. Wizkid, Ceeza Milli, Spotless, Terri (Audio)",3 years ago,40191056.0,4:17,257.0,StarBoy TV,1435,,108.0
7491,Time Off,starRo & Kyle Dion,shWpfzcqoo8,starRo & Kyle Dion - Time Off,4 years ago,148228.0,4:17,257.0,EscapeTracks,44,Electronic,80.0
7524,Mami Dónde Estás?,Sticky M.a.;Juicy BAE;Jambo,zLd5BmgjlJw,Sticky M.A. - Mami Dónde Estás? ft. Juicy BAE,1 year ago,580140.0,3:33,213.0,StickyMAVEVO,460,Rap/Hip Hop,83.5
7549,Own It (feat. Ed Sheeran & Burna Boy),Stormzy;Ed Sheeran;Burna Boy,eYwbGaSurCQ,STORMZY - OWN IT (feat. ED SHEERAN & BURNA BOY),1 year ago,71196302.0,3:42,222.0,Stormzy,1144,Rap/Hip Hop,104.0
7619,Stwo - Eden (oshi remix),Stwo,qHbTmXJk0q8,Stwo - Eden (Oshi Remix),6 years ago,63589.0,5:02,302.0,SYZYGY,15,,121.0
7621,Thinking (Maths Time Joy Remix),Submotion Orchestra,tNFNpMovpW0,Submotion Orchestra - Thinking (Maths Time Joy Remix),8 years ago,548252.0,4:51,291.0,Majestic Casual,150,,140.0
7632,Tú Me Haces Sentir,Swallow X;Nico Miseria,sLp4W8BSMFs,Swallow X w/ Nico Miseria - Tu me haces sentir (Music Video),1 year ago,11858.0,3:29,209.0,Swallow X,38,Rap/Hip Hop;Pop,113.0
7643,I Got U,Sweater Beats,tuQBCffXyF8,Sweater Beats - I Got U,8 years ago,287551.0,3:54,234.0,Trap City,71,,133.0
7688,All About Me,Syd,ZNIOrsxsa0A,Syd - All About Me (Video),4 years ago,4174451.0,3:32,212.0,Syd,1460,R&B/Soul,119.0
7698,In My Arms,Synkro & Manos,jjAC2ii3aac,Synkro & Manos - In My Arms,7 years ago,77087.0,6:24,384.0,Apollo Records,21,Aftersex,85.0
7710,Long Time No See (feat. Atu),Ta-ku,uj1KeltcGXM,Ta-ku - Long Time No See feat. Atu,6 years ago,909874.0,4:43,283.0,Ta-ku,186,Электронная музыка,114.02
7711,Trust Me,Ta-ku,79yeRrGEUBM,Ta-ku - Trust Me,6 years ago,456704.0,3:10,190.0,Ta-ku,28,Электронная музыка,146.0
7725,Vegas (Joey Mccrilley Remix),TÂCHES ,tIJs6A2ToGs,TÂCHES - Vegas (Joey Mccrilley Remix),8 years ago,82177.0,6:44,404.0,Eton Messy,49,,126.0
7753,Walking With Elephants (Original Mix) ,Ten Walls,rymUSbYQjw8,Ten Walls - Walking with Elephants (Original Mix),7 years ago,62084870.0,5:27,327.0,D1gitalSound,1908,,120.0
7768,Лев (Kolya Funk Radio Mix),Tenca,I8xOnovAas8,TENCA - Лев //  Kolya Funk REMIX //,2 years ago,455254.0,2:46,166.0,TENCA music,127,Rap/Hip Hop,105.0
7816,The Hills,The Weeknd,yzTuBuRdAyA,The Weeknd - The Hills (Official Video),6 years ago,1702197882.0,3:55,235.0,The Weeknd,321,R&B/Soul,113.0
7855,Can't Feel My Face,The Weeknd,KEI4qSrkPAs,The Weeknd - Can't Feel My Face (Official Video),6 years ago,1198168997.0,3:39,219.0,The Weeknd,230,R&B/Soul,108.0
7856,The Morning (Atlantic Connection mix),The Weeknd,Ky_dqRZWac0,♒ The Weeknd - The Morning ( Atlantic Connection Remix ) ♒,7 years ago,153567.0,4:00,240.0,Chilland,28,Electronic,140.0
7858,Them Changes,Thundercat,jBuKNkVFaMU,Thundercat - Them Changes,3 years ago,5645441.0,3:10,190.0,David Dean Burkhart,2142,R&B/Soul,81.7
7884,Cold Sweat,Tinashe,QXQPDNuOUCo,TINASHE - Cold Sweat (OFFICIAL MUSIC VIDEO),6 years ago,4995930.0,5:31,331.0,Tinashe,1705,R&B/Soul,129.84
7899,Top Winners (feat. Not3s),Tinie;Not3s,mxkHdxIfn2g,Tinie - Top Winners ft. Not3s (Official Video),1 year ago,1788876.0,3:00,180.0,Tinie,447,Rap/Hip Hop,108.0
7939,I'm On (Clean),Tion Wayne ft. Kojo Funds,A4qwTmUbplg,Tion Wayne Ft. Kojo Funds – I'm On (Clean),3 years ago,5625.0,2:54,174.0,Clean UK Edits,12,,102.0
7972,Nothing (LO EDIT),TJPN & LO ,JI3MRtRCNlk,TJPN & LO - Nothing (LO Edit),8 years ago,26103.0,4:06,246.0,Eton Messy,18,,130.0
7990,Higher Ground,TNGHT,TtgZb0uGUGI,TNGHT - Higher Ground,8 years ago,856530.0,3:20,200.0,K W,406,"Trap, EDM, Warp, Master, Publishing, Instrumental, Vocal FX",160.74
8016,Slowments,Touch Sensitive,whV4iIOcHyw,Touch Sensitive - Slowments,7 years ago,278861.0,7:04,424.0,Future Classic,67,Aftersex,110.0
8028,Run,Tourist,ihHMKli6bcM,Tourist - Run (Official Audio),5 years ago,528061.0,6:00,360.0,Tourist,131,Electronic,126.0
8039,goosebumps,Travis Scott,Dst9gZkq1a8,Travis Scott - goosebumps ft. Kendrick Lamar,4 years ago,698324202.0,4:11,251.0,Travis Scott,574,Hip-Hop/Rap,130.0
8061,HIGHEST IN THE ROOM,Travis Scott,tfSS1e3kYeo,Travis Scott - HIGHEST IN THE ROOM (Official Music Video),1 year ago,452504367.0,2:57,177.0,Travis Scott,1247,Rap/Hip Hop,153.0
8062,Mahabbah,Tropkillaz,UYVObSs-tlk,Tropkillaz - Mahabbah (Official Full Stream),5 years ago,384935.0,2:59,179.0,Mad Decent,63,Electronic,103.0
8104,So Am I,Ty Dolla $ign ft. Damian Marley & Skrillex,aaWcbMP_gU8,Ty Dolla $ign - So Am I ft. Damian Marley & Skrillex [Official Audio],3 years ago,5263964.0,3:46,226.0,Ty Dolla $ign,899,,85.0
8157,Faded (Explicit) ft. Lil Wayne,Tyga,LbouTdwOrVw,Tyga - Faded (Official Music Video) (Explicit) ft. Lil Wayne,9 years ago,84477132.0,3:37,217.0,Tyga,1698,,95.02
8188,SWISH (Dirty),Tyga,ScdQQfAjFTk,Tyga - SWISH (Official Music Video),3 years ago,210198680.0,3:15,195.0,Tyga,1957,,105.0
8228,Taste - CHILDSPLAY Remix (Dirty),Tyga ft. Offset,jK20m-lAw7I,Tyga - Taste ft. Offset (CHILDSPLAY Remix),2 years ago,379511.0,3:54,234.0,FrenchTrap / FT,78,,103.0
8242,BUK,Valsbezig,yH9OxZYyQxg,ValsBezig - BUK (prod. DentaBeats),3 years ago,15706436.0,2:51,171.0,TopNotch,667,Rap/Hip Hop,102.0
8315,Clarks (feat. Popcaan & Gaza Slim),Vybz Kartel,CFYtre2q6uo,Vybz Kartel ft Popcaan & Gaza Slim - Clarkes {OFFICIAL VIDEO} Gaza - March 2010,9 years ago,1887360.0,3:09,189.0,Kas Exodus U.T.G,328,Reggae,99.0
8327,Proper English,Vybz Kartel,C7eebGQ_1xQ,Vybz Kartel - Proper English,3 years ago,278171.0,3:58,238.0,StreetfrassMusic,125,Modern Dancehall,87.3
8330,Real Bad Gal,Vybz Kartel,H4INS2XxQyo,Vybz Kartel - Real Bad Gal (Official Video),2 years ago,6002017.0,3:20,200.0,VybzKartelVEVO,1410,Reggae,100.0
8362,Under Water,Vybz Kartel,uPl-uvr4mDk,Vybz Kartel - Under Water (Official Animated Video),3 years ago,17773748.0,2:57,177.0,VybzKartelVEVO,2272,Reggae;Dancehall/Ragga,93.0
8369,My PYT [OFFICIAL MUSIC VIDEO],Wale ,aRGzlvOuigc,Wale - My PYT [Official Music Video],5 years ago,49895006.0,4:16,256.0,Wale,1992,,97.0
8388,Tur-Key Nla,Wande Coal,maS32H8UWEQ,Wande Coal - Tur-Key Nla [Official Video],3 years ago,3622533.0,3:58,238.0,Wande Coal,414,Rap/Hip Hop,125.0
8398,Marvin,Wayward ,YmRbzY7NEXw,Wayward - Marvin,8 years ago,137866.0,5:26,326.0,Eton Messy,58,,115.0
8419,Let U Know Ft. Zilo,Wilfred Giroux,hCw1GFIJn4s,Wilfred Giroux — Let U Know ft. Zilo [Official],5 years ago,11482.0,4:13,253.0,Rinse FM,15,,130.0
8443,Daddy Yo,Wizkid,_2uqOvEo2bQ,WizKid - Daddy Yo,4 years ago,20503571.0,2:44,164.0,StarBoy TV,1882,,99.0
8456,No Stress,Wizkid,veIK9yEabNc,WizKid - No Stress (Official Video),8 months ago,13353134.0,3:28,208.0,StarBoy TV,2046,,100.0
8468,Essence (feat. Tems),Wizkid;Tems,jipQpjUA_o8,WizKid - Essence (Official Video) ft. Tems,3 months ago,17513467.0,4:06,246.0,StarBoy TV,1254,R&B,104.0
8469,Witching Hour,XXYYXX,dU8L6Sg7Vbs,"XXYYXX - ""Witching Hour""",7 years ago,59465.0,4:21,261.0,Relief in Abstract,24,,133.0
8480,Tik Tok (Y2K & ALIZZZ REMIX),Y2K & Alizzz,FL6Vd5LQgAc,Y2K & Alizzz - Tik Tok,5 years ago,30637.0,3:18,198.0,TRAP MUSIC NOW,20,Electrónica,132.0
8496,If You Leave,Yahtzel,KMZQj_POaAo,Yahtzel - If You Leave,6 years ago,2166448.0,5:12,312.0,TheSoundYouNeed,150,,145.0
8533,New Bike,Yibril Rue;Mishii,3tP9XL-uIqA,Yibril Rue - New bike feat. Mishii (Track 1),1 year ago,8508.0,2:25,145.0,Yibril Rue,38,Rap/Hip Hop;Dirty South,118.0
8534,We Back,Youan,rMd-zCGBoew,Youan - We Back,7 years ago,52875.0,4:01,241.0,Eton Messy,10,,124.0
8547,4x4,Young T & Bugsey,3ZFqCXO2zKY,Young T & Bugsey - 4x4 [Music Video] | GRM Daily,3 years ago,6369571.0,3:43,223.0,GRM Daily,456,Hip-Hop,104.0
8557,Don't Rush,Young T & Bugsey;Headie One,ouCuyQI9pXc,Young T & Bugsey - Don't Rush (ft. Headie One) [Music Video] | GRM Daily,1 year ago,79323178.0,3:32,212.0,GRM Daily,1442,Rap/Hip Hop,108.0
8583,OEFF,Yung Felix;Poke,EbKmCKgDqTw,Yung Felix & Poke - OEFF,2 years ago,16103368.0,2:21,141.0,noahsarklabel,1894,Rap/Hip Hop,120.0
8598,Mr Lova,Yung Felix;Zefanio;Ir Sais,GpVecE6OWYA,Yung Felix - Mr Lova ft. Zefanio & Ir Sais,2 years ago,3482894.0,2:42,162.0,noahsarklabel,274,Rap/Hip Hop,95.0
8634,INSTANTES,Lauren nine,zdG3Mgc1yhA,Lauren Nine - Instantes,3 years ago,60859.0,3:33,213.0,Lauren Nine,53,,119.08
8636,SURT DEL MEU CAP,Lauren nine,BQ0vDUnBpAc,Lauren Nine & AWWZ - Surt Del Meu Cap,6 months ago,3210.0,3:46,226.0,Lauren Nine,17,,102.0
8637,NAUGHTY WORLD ,Lauren nine,4zHYop7xQOM,Lauren Nine & AWWZ - Naughty World (live),1 year ago,5775.0,3:28,208.0,Lauren Nine,24,,100.0
8638,SOMEBODY,Lauren nine,U1KkV1Zrft0,Lauren Nine - Somebody (directo),2 years ago,18835.0,4:46,286.0,Lauren Nine,62,,84.76
8639,ME VOY PAL CIELO,Lauren nine,rNU7teqQVnk,Lauren Nine - Me voy pal cielo (Prod. Absolute Terror),2 months ago,1510.0,2:43,163.0,Lauren Nine,26,,120.0
8641,DIME QUÉ QUIERES SABER,Lauren nine,Zh_WJJ-Mb_E,Lauren Nine & AWWZ - Dime qué quieres saber,1 year ago,14686.0,2:26,146.0,Lauren Nine,39,,130.0
8643,MARINERO,Lauren nine,M3Ay9WMoI_Q,Lauren Nine - Marinero (Prod Sr.Chen),1 year ago,13198.0,3:52,232.0,Lauren Nine,63,,82.5
8906,Heatbroken YYIOY Bootleg,,V-oTVeWWpuk,T2 - Heartbroken (Phibes Bootleg),1 year ago,1277731.0,4:00,240.0,DEEPROT,279,,132.0
